"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"Куйбышевазот","KAZT_p","411,20","1,13%","71,79B","1.920"
"Лензолото (прив.)","LNZL_p","2.190,0","2,58%","13,27B","1.451"
"Лензолото","LNZL","11.630,0","-0,09%","13,27B","209"
"Лента ЛТД","LNTADR","221,10","0,59%","107,77B","46.659"
"Ленэнерго","LSNG","6,64","4,73%","68,46B","466.900"
"Ленэнерго (прив.)","LSNG_p","174,80","0,52%","68,46B","36.460"
"Липецкая ЭСК","LPSB","8,75","2,94%","1,32B","37.000"
"ЛУКОЙЛ","LKOH","7.265,0","1,40%","4,38T","326.869"
"М.видео","MVID","596,10","1,90%","104,01B","164.399"
"Магаданэнерго","MAGE","8,12","6,28%","4,66B","222.700"
"Магаданэнерго (прив.)","MAGE_p","6,300","2,94%","4,66B","89.700"
"Соликамский магниевый","MGNZ","9.750,0","-1,12%","3,93B","40"
"Магнит","MGNT","6.377,0","0,59%","617,44B","39.989"
"Мариэнергосбыт","MISB","14,50","-0,68%","1,78B","33.200"
"Мариэнергосбыт (прив.)","MISB_p","11,40","2,70%","1,78B","39.600"
"МГТС (прив.)","MGTS_p","1.380,0","0,44%","166,99B","432"
"МГТС","MGTS","2.105,0","0,48%","166,99B","334"
"Славнефть Мегионнефтегаз","MFGS","357,50","-0,69%","45,58B","120"
"Медиахолдинг","ODVA","0,1046","-0,38%","73,5M","253.000"
"Меридиан","MERF","13,30","-1,12%","8,49B","18.100"
"Мечел (прив.)","MTLR_p","277,90","-0,05%","60,36B","190.980"
"Мечел","MTLR","148,58","-0,54%","60,36B","1.275.859"
"МКБ","CBOM","7,190","-0,08%","239,39B","37.689.200"
"ММК","MAGN","69,98","-0,03%","782,93B","8.901.010"
"ММТсБ","GEMA","938,50","1,57%","1,38B","1.342"
"Славнефть-МНГ (прив.)","MFGS_p","301,00","1,86%","45,58B","570"
"Мордовэнергосбыт","MRSB","0,470","4,44%","605,27M","2.180.000"
"МОСТОТРЕСТ","MSTT","90,10","0,00%","25,43B","920"
"Мосэнерго","MSNG","2,289","-0,41%","91,22B","8.094.000"
"МОЭСК ОАО","MSRS","1,326","3,27%","62,54B","5.667.000"
"МРСК Центра","MRKC","0,4140","0,19%","17,44B","15.172.000"
"МРСК Сибири ОАО","MRKS","0,3705","9,62%","32,05B","41.530.000"
"МРСК Юга ОАО","MRKY","0,0466","0,00%","7,05B","10.640.000"
"МРСК Урала","MRKU","0,1722","1,53%","14,83B","3.830.000"
"МТС","MTSS","328,60","0,03%","589,49B","1.134.800"
"Мультисистема","MSST","1,935","0,78%","192M","280.300"
"Наука-Связь","NSVZ","191,00","-1,29%","916,8M","6.260"
"Наука НПО","NAUK","208,80","-0,85%","2,37B","160"
"НефАЗ ОАО","NFAZ","524,80","-0,04%","4,22B","560"
"Нижнекамскнефтехим","NKNC","135,20","0,41%","238,28B","22.110"
"Нижнекамскнефтехим (прив.)","NKNC_p","107,68","-0,88%","238,28B","58.000"
"Нижнекамскшина","NKSH","26,90","2,99%","1,66B","2.500"
"ТНС Энерго Нижний Новгород","NNSB","3.130,00","20,85%","10,15B","4.923"
"ТНС энерго Нижний Новогород (прив.)","NNSB_p","920,00","13,16%","10,15B","9.756"
"Южно-Уральский никелевый","UNKL","8.820,0","1,61%","5,21B","32"
"НКХП ПАО","NKHP","354,00","-1,39%","24,27B","4.480"
"НЛМК","NLMK","217,20","-0,14%","1,3T","5.212.550"
"НМТП","NMTP","7,795","0,65%","143,7B","865.000"
"НОВАТЭК","NVTK","1.934,40","0,97%","5,67T","461.621"
"Норникель","GMKN","22.446,0","0,78%","3,5T","131.333"
