num;open;close;low;high
0;97.8;95.38;95.38;97.8;
1;95.53;93.74;93.5;95.67;
2;93.76;93.71;93.29;94.5;
3;0.0;91.7;0.0;91.73;
4;0.0;92.33;0.0;92.33;
5;93.91;91.28;90.86;93.91;
6;0.0;90.19;0.0;90.48;
7;89.67;91.0;88.0;91.0;
8;91.0;90.19;81.03;95.25;
9;90.9;90.0;89.43;90.99;
10;90.75;92.8;90.17;93.5;
11;92.67;94.0;91.71;94.94;
12;92.96;93.69;84.96;95.01;
13;95.52;96.99;94.9;97.0;
14;96.51;95.5;95.0;96.79;
15;95.95;94.92;94.21;96.11;
16;95.05;94.0;94.0;103.38;
17;97.25;97.7;97.0;100.0;
18;98.33;98.0;90.93;101.02;
19;99.66;98.0;98.0;100.69;
20;102.46;101.5;100.04;103.59;
21;101.67;101.5;100.37;103.0;
22;102.08;99.81;99.57;102.35;
23;101.26;101.39;99.0;101.52;
24;100.37;100.5;100.16;102.5;
25;102.1;101.06;101.06;102.74;
26;101.87;98.05;98.0;101.87;
27;97.7;98.0;97.06;98.65;
28;97.75;100.0;97.7;100.0;
29;98.9;98.5;96.5;99.36;
30;98.18;97.6;97.56;100.0;
31;97.96;100.52;97.64;101.5;
32;99.76;100.65;98.9;100.65;
33;100.26;100.2;99.9;103.5;
34;101.73;101.35;100.0;102.95;
35;102.42;102.82;101.46;104.39;
36;104.07;103.0;102.0;104.23;
37;102.44;102.42;101.41;105.0;
38;103.88;103.0;102.6;106.0;
39;104.1;103.66;103.65;106.0;
40;104.16;105.0;102.0;105.0;
41;103.93;104.5;103.56;105.6;
42;105.59;105.89;104.93;106.0;
43;105.3;105.54;104.45;106.13;
44;104.93;104.15;103.0;105.03;
45;103.55;104.0;102.68;104.5;
46;102.9;101.51;101.51;104.17;
47;103.67;102.01;102.0;104.25;
48;102.68;102.32;100.71;103.41;
49;103.23;103.83;102.2;104.17;
50;102.54;102.42;94.71;105.0;
51;102.78;103.61;102.54;104.0;
52;104.01;102.41;102.31;104.38;
53;102.83;102.44;102.19;103.02;
54;102.43;103.48;102.16;103.93;
55;102.45;101.93;101.61;102.7;
56;102.57;101.77;101.54;102.65;
57;101.9;104.19;101.68;104.2;
58;146.1;101.75;95.77;146.1;
59;102.87;103.8;93.57;104.03;
60;104.33;103.72;103.27;104.73;
61;104.02;105.46;103.64;105.57;
62;105.33;106.14;105.24;106.73;
63;105.94;106.05;105.16;106.37;
64;105.34;104.82;104.73;105.6;
65;105.29;105.15;104.31;105.54;
66;105.44;105.27;105.14;106.13;
67;105.41;103.09;103.07;105.41;
68;103.56;102.84;102.66;104.18;
69;103.31;102.58;102.26;103.43;
70;102.7;103.14;101.9;103.35;
71;103.03;102.29;102.25;103.6;
72;102.23;100.24;100.04;102.52;
73;100.37;99.01;98.77;100.81;
74;99.22;98.22;97.92;99.91;
75;98.54;100.01;97.95;100.07;
76;100.32;101.03;99.58;101.1;
77;100.81;100.18;99.65;103.0;
78;99.87;100.66;99.09;100.9;
79;100.56;98.93;98.45;101.68;
80;98.89;98.84;98.52;99.54;
81;98.73;99.81;98.35;99.89;
82;100.21;100.06;99.64;100.84;
83;100.52;100.19;99.9;100.68;
84;101.19;101.72;100.76;103.01;
85;101.9;102.18;101.36;102.3;
86;102.42;102.31;102.02;102.8;
87;102.58;102.06;101.82;102.61;
88;102.16;101.6;101.49;102.18;
89;101.66;101.96;101.5;102.23;
90;101.91;100.63;100.58;102.16;
91;100.55;101.26;100.48;102.02;
92;2.0;2.0;2.0;2.0;
93;0.0;101.5;0.0;102.09;
94;98.21;97.96;97.65;99.44;
95;97.88;99.23;97.55;99.41;
96;99.37;100.33;99.11;100.47;
97;99.12;99.25;98.48;99.7;
98;99.75;100.65;99.51;100.74;
99;100.95;100.68;100.58;101.69;
100;100.43;101.3;100.17;101.52;
101;100.93;101.98;100.61;102.11;
102;102.47;102.16;101.86;102.53;
103;102.17;102.11;101.08;102.44;
104;101.77;101.53;101.53;102.85;
105;101.02;99.78;99.67;101.3;
106;99.07;97.92;97.7;99.17;
107;98.49;97.4;97.09;98.78;
108;97.87;96.06;95.69;98.94;
109;96.24;95.87;94.47;96.76;
110;95.84;94.59;87.98;96.3;
111;94.9;94.61;94.51;95.85;
112;93.48;93.96;93.2;94.43;
113;94.34;95.53;94.04;95.68;
