"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"T-Mobile US","TMUS-RM","8.882,00","0,19%","11,02T","16"
"Moderna","MRNA-RM","22.361,00","0,53%","8,99T","375"
"Mondelez","MDLZ-RM","4.337,00","0,00%","6T","0"
"Morgan Stanley","MS-RM","7.142,00","-0,83%","12,92T","6"
"Philip Morris","PM-RM","6.905,00","0,25%","10,69T","15"
"Mosaic","MOS-RM","2.842,00","-0,73%","1,08T","31"
"MSCI","MSCI-RM","43.799,00","0,00%","3,61T","0"
"Pioneer Natural","PXD-RM","13.431,00","1,94%","3,23T","89"
"NetApp","NTAP-RM","6.514,00","0,00%","1,46T","0"
"Netflix","NFLX-RM","45.376,00","0,12%","20,05T","47"
"Nike","NKE-RM","10.922,00","-0,07%","17,23T","243"
"NiSource","NI-RM","1.779,00","0,00%","690,89B","0"
"Nov","NOV-RM","1.029,00","1,18%","394,08B","7"
"NRG","NRG-RM","2.979,00","0,00%","724B","1"
"Nucor","NUE-RM","7.141,00","1,02%","2,09T","7"
"NVIDIA","NVDA-RM","15.067,00","-0,23%","37,71T","363"
"NVR","NVR-RM","341.510,00","0,00%","1,25T","0"
"Левенгук OAO","LVHK","18,40","-1,60%","941,27M","34.500"
"Морион OAO","MORI","4,31","0,00%","709,6M","0"
"Русолово OAO","ROLO","9,84","-0,15%","29,55B","381.100"
"ДИОД OAO","DIOD","8,69","1,40%","784,16M","32.700"
"Плазмек OAO","PLSMI","0,0956","0,00%","9,56M","0"
"ТКСМ OAO","TUCH","1,59","0,00%","63,06M","94.230"
"Occidental","OXY-RM","2.376,00","1,41%","2,17T","8.241"
"ONEOK","OKE-RM","4.359,00","0,00%","1,94T","0"
"Oracle","ORCL-RM","6.700,00","0,92%","18,1T","1"
"OraSure","OSUR-RM","824,00","0,49%","58,28B","156"
"Otis Worldwide","OTIS-RM","0,00","0,00%","2,58T","0"
"Ozon","OZONDR","3.560,00","0,42%","725,38B","53.729"
"PACCAR","PCAR-RM","5.978,00","0,00%","2,07T","0"
"Union Pacific","UNP-RM","15.322,00","-0,38%","9,91T","20"
"Palantir","PLTR-RM","1.707,00","0,53%","3,32T","263"
"United Parcel Service","UPS-RM","13.131,00","0,37%","11,34T","154"
"Paychex","PAYX-RM","8.488,00","-0,29%","3,07T","1"
"Paycom Soft","PAYC-RM","37.472,00","0,00%","2,13T","0"
"People’s United","PBCT-RM","1.282,00","-1,00%","543,8B","710"
"PepsiCo","PEP-RM","11.267,00","0,17%","15,5T","14"
"Petropavlovsk","POGR","21,55","4,69%","79,88B","9.146.400"
"Pfizer","PFE-RM","3.082,00","-0,58%","17,18T","775"
"Zynerba Pharma","ZYNE-RM","298,00","0,00%","11,85B","1.586"
"Regeneron Pharma","REGN-RM","39.637,00","-0,31%","4,11T","1"
"West Pharmaceutical Services","WST-RM","30.059,00","0,00%","2,22T","0"
"Pinterest","PINS-RM","3.719,00","-0,80%","2,39T","551"
"Plug Power","PLUG-RM","1.895,00","0,96%","1,07T","2.087"
"Polymetal","POLY","1.254,20","0,08%","589,38B","381.728"
"PPL","PPL-RM","2.048,00","0,44%","1,57T","110"
"Progressive","PGR-RM","6.582,00","-1,39%","3,83T","1"
"PulteGroup","PHM-RM","3.446,00","0,00%","886,69B","0"
"QIWI","QIWIDR","618,50","-0,56%","38,58B","7.119"
"Qualcomm","QCOM-RM","9.192,00","0,13%","10,35T","67"
